"","id","Age","Gender","Ethnicity","Nationality","Sample","POMSDSF1_1","POMSDSF2_1","POMSDSF3_1","POMSDSF4_1","POMSDSF5_1","POMSDSF6_1","POMSDSF7_1","POMSDSF8_1","POMSDSF1_2","POMSDSF2_2","POMSDSF3_2","POMSDSF4_2","POMSDSF5_2","POMSDSF6_2","POMSDSF7_2","POMSDSF8_2","Condition","SelfSelected_Song1","SelfSelected_Song2","POMSDSF1_3","POMSDSF2_3","POMSDSF3_3","POMSDSF4_3","POMSDSF5_3","POMSDSF6_3","POMSDSF7_3","POMSDSF8_3","RRQ1_1","RRQ2_1","RRQ3_1","RRQ4_1","RRQ5_1","RRQ6_1","RRQ7_1","RRQ8_1","RRQ9_1","RRQ10_1","RRQ11_1","RRQ12_1","MusicInfo4_1","Baseline","Post_induction","Post_listening","RRQ6r","RRQ9r","RRQ10r","rumination","rumination.split","playlist_name","playlist_uri","playlist_tracks_url","playlist_num_tracks","snapshot_id","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"1",1,18,"Male",1,"South African","First year student",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,4,4,2,3,1,5,2,2,4,4,2,2,NA,0,3,0,1,2,2,2.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,23,"Female",1,"Australian","Community sample",2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"Control",NA,NA,1,1,1,1,1,1,0,0,4,5,5,5,4,1,5,5,1,2,4,4,NA,6,2,6,5,5,4,4.58333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,21,"Female",1,"Australian","Community sample",2,2,2,1,2,3,3,2,2,2,2,2,1,1,2,3,"Control",NA,NA,1,1,1,2,2,1,2,1,5,5,5,5,5,1,5,5,1,1,5,5,NA,17,15,11,5,5,5,5,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,19,"Female",3,"Iranian","First year student",1,1,1,2,2,1,1,1,3,4,3,3,2,2,3,2,"Control",NA,NA,4,2,1,3,3,3,3,3,3,5,4,5,4,2,5,5,2,2,4,4,NA,10,22,22,4,4,4,4.25,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,18,"Male",1,"Australian","Community sample",1,1,1,0,1,0,0,0,2,1,1,0,0,1,1,0,"Control",NA,NA,3,0,0,1,0,0,1,1,4,2,3,4,4,2,4,4,2,3,4,4,NA,4,6,6,4,4,3,3.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,20,"Male",1,"Australian","Community sample",1,1,1,0,0,0,0,0,2,2,2,1,1,2,1,0,"Control",NA,NA,2,2,1,0,0,1,1,1,4,4,4,4,4,2,4,4,2,3,4,3,NA,3,11,8,4,4,3,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,22,"Female",5,"Australian","Community sample",0,1,0,0,0,0,0,0,3,4,2,1,1,1,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,3,4,4,4,2,2,2,4,4,2,3,3,NA,1,12,0,4,2,4,3.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,22,"Male",1,"Australian","Community sample",0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,3,5,5,5,5,1,5,5,1,1,5,5,NA,3,2,0,5,5,5,4.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,18,"Male",2,"Srilankan","First year student",1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,"Control",NA,NA,0,0,0,0,0,0,0,0,2,4,4,4,3,2,4,4,2,2,4,4,NA,4,4,0,4,4,4,3.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,20,"Male",2,"Kazakh","First year student",0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,"Control",NA,NA,1,0,0,0,0,0,0,0,3,4,3,4,3,2,4,4,3,2,3,3,NA,0,6,1,4,3,4,3.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,18,"Male",1,"Australian","First year student",0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,"Control",NA,NA,0,1,1,1,0,0,1,0,2,2,2,4,2,4,2,2,4,4,2,2,NA,4,5,4,2,2,2,2.16666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,19,"Male",1,"Australian","First year student",0,0,0,0,0,0,0,0,2,3,1,1,1,1,0,0,"Control",NA,NA,1,0,1,0,0,0,0,0,4,2,4,4,2,2,4,4,2,2,4,2,NA,0,9,2,4,4,4,3.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,19,"Female",1,"Australian","First year student",0,0,0,2,2,0,1,2,2,1,1,2,2,0,1,1,"Control",NA,NA,1,2,1,1,1,0,1,2,4,5,5,5,4,2,4,5,2,2,4,2,NA,7,10,9,4,4,4,4.16666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,18,"Female",3,"Australian","First year student",0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,1,"Control",NA,NA,1,1,0,0,0,0,0,0,3,4,3,4,5,1,4,3,3,1,5,4,NA,0,12,2,5,3,5,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,18,"Female",1,"Australian","First year student",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,1,0,0,2,2,2,2,2,3,2,3,4,3,2,2,NA,0,2,1,3,2,3,2.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,24,"Female",5,"American","Community sample",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,2,2,2,4,2,4,4,4,4,4,2,2,NA,1,2,0,2,2,2,2.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,21,"Female",5,"Japanese-Australian","Community sample",1,0,1,0,2,0,1,0,3,4,4,4,3,3,3,2,"Control",NA,NA,1,1,1,0,1,1,1,0,4,5,5,5,5,2,5,5,4,2,4,5,NA,5,26,6,4,2,4,4.41666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,19,"Female",1,"Australian","First year student",0,0,0,0,0,0,0,0,2,3,2,1,1,0,1,0,"Control",NA,NA,0,0,0,0,0,0,0,0,4,4,4,4,4,3,5,4,2,2,3,3,NA,0,10,0,3,4,4,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,23,"Male",1,"Australian","Community sample",1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,"Control",NA,NA,1,0,0,1,0,0,0,1,4,4,4,4,4,2,4,4,2,4,4,4,NA,5,4,3,4,4,2,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,25,"Male",1,"Australian","First year student",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,"Control",NA,NA,0,1,0,0,0,0,0,0,3,5,3,5,4,2,4,5,4,2,4,2,NA,0,3,1,4,2,4,3.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,25,"Female",1,"Australian","First year student",0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,"Control",NA,NA,0,0,1,0,0,0,0,0,2,3,2,5,4,2,4,4,2,2,3,3,NA,2,5,1,4,4,4,3.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,21,"Female",2,"Australian","Community sample",0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,2,2,4,4,4,2,4,4,2,2,2,2,NA,0,6,0,4,4,4,3.33333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,19,"Male",2,"Australian","First year student",0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,"Control",NA,NA,1,1,1,0,0,1,0,0,5,4,4,4,4,1,4,4,1,1,5,5,NA,1,3,4,5,5,5,4.5,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,22,"Female",2,"Chinese","First year student",0,0,1,0,0,0,0,0,3,3,3,4,3,3,4,2,"Control",NA,NA,2,1,2,2,2,1,1,0,4,4,4,4,5,2,4,4,2,2,4,4,NA,1,25,11,4,4,4,4.08333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,22,"Female",1,"Greek/Australian","Community sample",1,1,1,1,2,0,1,0,3,3,2,0,0,0,0,0,"Control",NA,NA,1,1,1,0,1,0,0,0,4,4,3,4,4,2,4,4,2,2,4,4,NA,7,8,4,4,4,4,3.91666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,21,"Male",2,"New Zealand","First year student",2,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,"Control",NA,NA,0,0,0,0,0,0,0,0,4,5,4,4,4,2,4,4,4,2,4,3,NA,5,5,0,4,2,4,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,18,"Male",1,"Australian","First year student",0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,4,4,4,4,4,2,5,4,2,1,3,3,NA,2,4,0,4,4,5,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,18,"Female",1,"Australian","First year student",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Control",NA,NA,1,0,0,0,0,1,0,0,2,3,2,2,4,3,4,4,3,2,2,3,NA,1,1,2,3,3,4,3,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,20,"Male",1,"Australian","First year student",1,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,"Control",NA,NA,1,0,1,0,0,0,0,0,4,4,5,4,4,2,1,4,2,2,4,2,NA,3,4,2,4,4,4,3.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,18,"Female",1,"Australian","First year student",1,0,0,0,0,0,0,0,4,4,3,1,1,3,1,1,"Control",NA,NA,0,0,0,0,3,0,0,0,4,4,4,5,3,2,4,4,2,1,4,4,NA,1,18,3,4,4,5,4.08333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,21,"Female",2,"Indian","First year student",2,2,1,2,1,1,1,2,2,4,3,1,1,1,2,1,"Control",NA,NA,1,2,2,1,1,1,2,1,4,5,4,5,4,2,4,4,2,3,4,3,NA,12,15,11,4,4,3,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,20,"Female",2,"Singaporean","First year student",1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,"Control",NA,NA,1,1,1,1,1,1,1,1,4,4,4,4,4,2,4,4,2,2,4,4,NA,8,10,8,4,4,4,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,21,"Male",5,"Ecuadorian","First year student",0,0,1,1,0,0,0,0,2,1,1,0,1,0,0,0,"Control",NA,NA,1,1,0,0,1,0,0,0,1,2,3,3,2,2,3,4,4,4,3,1,NA,2,5,3,4,2,2,2.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,18,"Female",1,"South African","First year student",0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,"Control",NA,NA,0,0,1,0,0,0,0,0,4,4,4,5,4,2,3,2,3,5,3,2,NA,1,3,1,4,3,1,3.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,18,"Female",1,"Australian","First year student",0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,3,4,4,5,4,2,4,4,3,2,2,3,NA,0,8,0,4,3,4,3.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,21,"Male",1,"Australian","Community sample",0,0,1,0,0,0,0,1,1,2,1,1,0,1,2,1,"Control",NA,NA,1,1,0,0,1,0,0,0,4,4,4,5,4,4,4,2,2,2,4,4,NA,2,9,3,2,4,4,3.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,22,"Female",5,"Australian","Community sample",1,0,1,1,1,1,1,2,1,2,1,1,0,0,0,0,"Control",NA,NA,2,1,1,1,1,1,1,1,4,3,3,3,3,3,4,4,3,3,3,3,NA,8,5,9,3,3,3,3.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,22,"Male",5,"Ecuadorian","Community sample",1,1,1,3,2,0,1,0,2,1,1,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,2,4,2,4,3,3,4,4,4,2,2,2,NA,9,4,0,3,2,4,3,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,23,"Male",2,"South Korean","First year student",1,2,2,1,1,1,1,1,2,3,2,2,1,1,1,2,"Control",NA,NA,2,2,2,2,2,1,1,1,4,4,3,2,2,4,4,2,4,4,2,2,NA,10,14,13,2,2,2,2.58333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,18,"Female",2,"Australian","First year student",0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,"Control",NA,NA,0,0,0,0,0,0,0,0,2,3,2,4,3,3,4,4,3,2,2,2,NA,0,11,0,3,3,4,3,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,19,"Female",1,"Australian","First year student",2,0,0,1,1,0,0,0,3,4,3,0,0,0,0,0,"Control",NA,NA,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,2,2,4,4,NA,4,10,0,4,4,4,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,18,"Male",1,"Australian","Community sample",2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,"Control",NA,NA,2,2,2,2,2,1,2,2,5,5,5,5,5,2,5,5,2,2,5,5,NA,14,16,15,4,4,4,4.75,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,21,"Male",1,"Australian","Community sample",1,1,0,1,1,0,0,0,1,1,2,0,0,1,0,0,"Control",NA,NA,1,1,0,0,0,0,0,0,4,4,4,3,3,3,4,4,3,3,2,4,NA,4,5,2,3,3,3,3.41666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,20,"Male",1,"Australian","Community sample",1,0,0,0,1,0,0,1,1,2,2,0,0,1,0,0,"ESM",NA,NA,1,2,2,0,0,1,0,1,3,3,4,4,4,2,4,4,2,3,4,3,NA,3,6,7,4,4,3,3.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,22,"Female",1,"Australian","Community sample",1,1,1,0,0,0,0,0,3,3,3,2,3,3,2,2,"ESM",NA,NA,3,3,3,3,3,3,2,2,5,4,4,4,4,2,4,4,2,2,5,4,NA,3,21,22,4,4,4,4.16666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,22,"Male",1,"Australian","First year student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESM",NA,NA,1,0,0,0,0,0,0,0,2,2,2,5,5,1,5,5,1,2,5,5,4,0,0,1,5,5,4,4.16666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,20,"Male",1,"Aus","First year student",0,1,1,0,1,0,0,0,1,2,2,2,2,2,1,1,"ESM",NA,NA,1,1,1,1,1,0,1,0,4,4,4,4,3,4,4,4,4,3,3,3,4,3,13,6,2,2,3,3.33333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,18,"Male",1,"Australian","First year student",0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,"ESM",NA,NA,1,1,1,2,1,2,1,2,4,4,3,4,4,2,2,4,2,1,4,4,5,0,6,11,4,4,5,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,19,"Female",2,"China","First year student",1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,"ESM",NA,NA,1,1,0,0,0,0,0,0,4,3,3,4,4,2,4,4,3,2,3,3,4,2,4,2,4,3,4,3.58333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,23,"Female",1,"Australian","Community sample",0,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,"ESM",NA,NA,2,3,1,1,0,1,0,0,3,4,4,4,4,1,4,4,2,3,4,3,5,0,8,8,5,4,3,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
